playerID,name,position,age,PER,usage%,gp,yr,draftyr
gervige01,George Gervin,SHOOTING GUARD,25,24.7,29.5,82,1978,1977
gilmoar01,Artis Gilmore,CENTER,28,23.5,25.3,82,1978,1977
griffpa01,Paul Griffin,POWER FORWARD,27,13.8,11.7,82,1981,1977
hillar01,Armond Hill,POINT GUARD,23,11.9,0.0,81,1977,1977
isselda01,Dan Issel,CENTER,33,23.1,26.0,81,1982,1977
johnsde01,Dennis Johnson,POINT GUARD,26,17.0,24.6,79,1981,1977
jonesbo01,Bobby Jones,POWER FORWARD,25,21.1,0.0,82,1977,1977
jonesca01,Caldwell Jones,CENTER,28,13.4,15.5,78,1979,1977
kenonla01,Larry Kenon,POWER FORWARD,24,19.8,0.0,78,1977,1977
knighbi01,Billy Knight,SMALL FORWARD,24,20.1,0.0,78,1977,1977
